Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2014,TOTAL,"44,22,62,000","12,42,24,398","56,64,86,398"
2015,1,"3,37,07,822","99,48,402","4,36,56,225"
2015,2,"3,14,08,728","79,52,475","3,93,61,203"
2015,3,"3,99,31,891","1,01,42,802","5,00,74,693"
2015,4,"3,88,75,255","1,01,08,983","4,89,84,238"
2015,5,"4,07,33,272","1,08,04,812","5,15,38,084"
2015,6,"4,23,48,607","1,16,98,315","5,40,46,922"
2015,7,"4,48,73,073","1,36,96,598","5,85,69,671"
2015,8,"4,34,68,247","1,32,94,547","5,67,62,795"
2015,9,"3,78,85,709","1,06,39,357","4,85,25,066"
2015,10,"4,08,41,179","1,02,79,807","5,11,20,986"
2015,11,"3,81,04,650","88,19,467","4,69,24,117"
2015,12,"3,95,30,185","96,89,851","4,92,20,035"
2015,TOTAL,"47,17,08,618","12,70,75,417","59,87,84,035"
2016,1,"3,58,66,128","1,01,65,519","4,60,31,647"
2016,2,"3,45,39,016","82,18,995","4,27,58,011"
2016,3,"4,20,12,538","1,02,24,019","5,22,36,557"
2016,4,"4,02,11,532","1,02,42,500","5,04,54,032"
2016,5,"4,29,32,667","1,06,73,070","5,36,05,738"
2016,6,"4,47,37,159","1,18,89,283","5,66,26,442"
2016,7,"4,62,24,162","1,38,87,836","6,01,11,998"
2016,8,"4,44,58,695","1,30,47,842","5,75,06,537"
2016,9,"3,97,76,190","1,06,11,919","5,03,88,108"
2016,10,"4,15,32,321","1,03,21,956","5,18,54,277"
2016,11,"3,97,70,595","86,88,706","4,84,59,301"
2016,12,"4,06,26,435","98,89,792","5,05,16,226"
2016,TOTAL,"49,26,87,438","12,78,61,437","62,05,48,875"
2017,1,"3,73,44,694","1,03,65,684","4,77,10,378"
2017,2,"3,44,12,985","80,63,245","4,24,76,230"
2017,3,"4,34,09,588","1,01,54,541","5,35,64,128"
2017,4,"4,18,36,213","1,11,61,409","5,29,97,622"
2017,5,"4,40,09,060","1,10,97,034","5,51,06,094"
2017,6,"4,60,20,163","1,23,07,364","5,83,27,528"
2017,7,"4,77,91,856","1,43,58,103","6,21,49,959"
2017,8,"4,65,49,668","1,35,12,506","6,00,62,174"
2017,9,"3,90,02,858","1,07,30,306","4,97,33,165"
2017,10,"4,34,89,454","1,06,13,163","5,41,02,617"
2017,11,"4,14,72,820","90,53,569","5,05,26,389"
2017,12,"4,19,64,540","1,02,26,476","5,21,91,016"
2017,TOTAL,"50,73,03,899","13,16,43,400","63,89,47,299"
2018,1,"3,81,90,767","1,05,46,222","4,87,36,989"
2018,2,"3,63,45,803","86,24,179","4,49,69,982"
2018,3,"4,50,60,575","1,10,63,897","5,61,24,472"
2018,4,"4,37,27,262","1,12,84,870","5,50,12,132"
2018,5,"4,61,57,238","1,14,10,564","5,75,67,802"
2018,6,"4,81,82,703","1,28,83,365","6,10,66,068"
2018,7,"5,02,11,969","1,47,05,214","6,49,17,183"
2018,8,"4,86,19,048","1,39,29,387","6,25,48,435"
2018,9,"4,10,59,061","1,12,37,101","5,22,96,161"
2018,10,"4,48,11,601","1,10,98,081","5,59,09,682"
2018,11,"4,29,16,188","95,18,025","5,24,34,213"
2018,12,"4,32,03,637","1,04,13,561","5,36,17,198"
2018,TOTAL,"52,84,85,851","13,67,14,468","66,52,00,318"
2019,1,"3,97,01,962","1,10,61,159","5,07,63,121"
2019,2,"3,73,12,539","89,23,492","4,62,36,032"
2019,3,"4,72,15,090","1,13,87,656","5,86,02,746"
2019,4,"4,50,33,553","1,18,54,590","5,68,88,143"
2019,5,"4,79,88,346","1,20,34,404","6,00,22,750"
2019,6,"4,92,74,149","1,34,16,530","6,26,90,678"
